Region,County,District,District Name,Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay
17,GARZA COUNTY,85902,POST ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,71.01,3448176,48562
20,ATASCOSA COUNTY,7906,POTEET ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,120.72,6250182,51775
20,WILSON COUNTY,247904,POTH ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,68.25,3630783,53196
10,GRAYSON COUNTY,91913,POTTSBORO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,101.85,5634199,55316
13,CALDWELL COUNTY,28906,PRAIRIE LEA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,17.92,843216,47053
9,MONTAGUE COUNTY,169909,PRAIRIE VALLEY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,15.79,823845,52184
8,LAMAR COUNTY,139912,PRAIRILAND ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,87.07,4299054,49374
2,JIM WELLS COUNTY,125905,PREMONT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,45.08,2238936,49661
18,PRESIDIO COUNTY,189902,PRESIDIO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,86.56,4143942,47872
12,MILLS COUNTY,167904,PRIDDY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,16.0,771644,48227
10,COLLIN COUNTY,43911,PRINCETON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,361.53,20717383,57304
16,HANSFORD COUNTY,98903,PRINGLE-MORSE CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,12.61,691903,54863
1,HIDALGO COUNTY,108910,PROGRESO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,120.6,6130542,50832
10,COLLIN COUNTY,43912,PROSPER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1064.62,63775618,59904
9,HARDEMAN COUNTY,99903,QUANAH ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,54.11,2507308,46341
8,CASS COUNTY,34907,QUEEN CITY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,88.1,4340253,49266
10,HUNT COUNTY,116908,QUINLAN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,176.48,8554819,48473
7,WOOD COUNTY,250904,QUITMAN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,96.51,4591793,47579
7,RAINS COUNTY,190903,RAINS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,123.82,5963749,48166
17,CROSBY COUNTY,54903,RALLS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,50.07,2367278,47277
2,DUVAL COUNTY,66005,RAMIREZ CSD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,2.91,151950,52227
